Check_ID,Finding,Finding_Details,Resolution,Reference,Severity,Status,Region
BR-01,AmazonBedrockFullAccess role check,No roles found with AmazonBedrockFullAccess policy,No action required,"https://docs.aws.amazon.com/bedrock/latest/userguide/security_iam_id-based-policy-examples-agent.html#iam-agents-ex-all
https://docs.aws.amazon.com/bedrock/latest/userguide/security_iam_id-based-policy-examples-br-studio.html",High,Passed,Global
BR-03,Marketplace Subscription Access Check,User 'BedrockAPIKey-ay7y' has overly permissive marketplace subscription access through policy 'AmazonBedrockLimitedAccess',"Ensure that users have access to only the models that you want user to be able to subscribe to based on your organizational policies. For example, you may want users to have access to only text based models and not image and video generation model. This can also help to keep cost in check.",https://docs.aws.amazon.com/bedrock/latest/userguide/security-iam-awsmanpol.html#security-iam-awsmanpol-bedrock-marketplace,High,Failed,Global
BR-03,Marketplace Subscription Access Check,User 'BedrockAPIKey-bofl' has overly permissive marketplace subscription access through policy 'AmazonBedrockLimitedAccess',"Ensure that users have access to only the models that you want user to be able to subscribe to based on your organizational policies. For example, you may want users to have access to only text based models and not image and video generation model. This can also help to keep cost in check.",https://docs.aws.amazon.com/bedrock/latest/userguide/security-iam-awsmanpol.html#security-iam-awsmanpol-bedrock-marketplace,High,Failed,Global
BR-03,Marketplace Subscription Access Check,User 'BedrockAPIKey-ch7a' has overly permissive marketplace subscription access through policy 'AmazonBedrockLimitedAccess',"Ensure that users have access to only the models that you want user to be able to subscribe to based on your organizational policies. For example, you may want users to have access to only text based models and not image and video generation model. This can also help to keep cost in check.",https://docs.aws.amazon.com/bedrock/latest/userguide/security-iam-awsmanpol.html#security-iam-awsmanpol-bedrock-marketplace,High,Failed,Global
BR-03,Marketplace Subscription Access Check,User 'BedrockAPIKey-ge0f' has overly permissive marketplace subscription access through policy 'AmazonBedrockLimitedAccess',"Ensure that users have access to only the models that you want user to be able to subscribe to based on your organizational policies. For example, you may want users to have access to only text based models and not image and video generation model. This can also help to keep cost in check.",https://docs.aws.amazon.com/bedrock/latest/userguide/security-iam-awsmanpol.html#security-iam-awsmanpol-bedrock-marketplace,High,Failed,Global
BR-03,Marketplace Subscription Access Check,User 'BedrockAPIKey-hwzy' has overly permissive marketplace subscription access through policy 'AmazonBedrockLimitedAccess',"Ensure that users have access to only the models that you want user to be able to subscribe to based on your organizational policies. For example, you may want users to have access to only text based models and not image and video generation model. This can also help to keep cost in check.",https://docs.aws.amazon.com/bedrock/latest/userguide/security-iam-awsmanpol.html#security-iam-awsmanpol-bedrock-marketplace,High,Failed,Global
BR-03,Marketplace Subscription Access Check,User 'BedrockAPIKey-mhbj' has overly permissive marketplace subscription access through policy 'AmazonBedrockLimitedAccess',"Ensure that users have access to only the models that you want user to be able to subscribe to based on your organizational policies. For example, you may want users to have access to only text based models and not image and video generation model. This can also help to keep cost in check.",https://docs.aws.amazon.com/bedrock/latest/userguide/security-iam-awsmanpol.html#security-iam-awsmanpol-bedrock-marketplace,High,Failed,Global
BR-03,Marketplace Subscription Access Check,User 'BedrockAPIKey-pr37' has overly permissive marketplace subscription access through policy 'AmazonBedrockLimitedAccess',"Ensure that users have access to only the models that you want user to be able to subscribe to based on your organizational policies. For example, you may want users to have access to only text based models and not image and video generation model. This can also help to keep cost in check.",https://docs.aws.amazon.com/bedrock/latest/userguide/security-iam-awsmanpol.html#security-iam-awsmanpol-bedrock-marketplace,High,Failed,Global
BR-03,Marketplace Subscription Access Check,User 'BedrockAPIKey-y61t' has overly permissive marketplace subscription access through policy 'AmazonBedrockLimitedAccess',"Ensure that users have access to only the models that you want user to be able to subscribe to based on your organizational policies. For example, you may want users to have access to only text based models and not image and video generation model. This can also help to keep cost in check.",https://docs.aws.amazon.com/bedrock/latest/userguide/security-iam-awsmanpol.html#security-iam-awsmanpol-bedrock-marketplace,High,Failed,Global
BR-02,Amazon Bedrock private connectivity not used,"No Bedrock service VPC endpoints found in VPCs: vpc-0c9692b1939fd1609, vpc-05f6b08162d38ff6e","Create a VPC endpoint in your VPC with any of the following Bedrock service endpoints that your application may be using:
- com.amazonaws.region.bedrock
- com.amazonaws.region.bedrock-runtime
- com.amazonaws.region.bedrock-agent
- com.amazonaws.region.bedrock-agent-runtime",https://docs.aws.amazon.com/bedrock/latest/userguide/vpc-interface-endpoints.html,Medium,Failed,us-east-1
BR-04,Bedrock Model Invocation Logging Check,Model invocation logging is not enabled. This limits your ability to track and audit model usage.,"Enable model invocation logging to collect invocation logs, model input data, and model output data. Configure logging to deliver to Amazon S3, CloudWatch Logs, or both for comprehensive monitoring.",https://docs.aws.amazon.com/bedrock/latest/userguide/model-invocation-logging.html,Medium,Failed,us-east-1
BR-05,Bedrock Guardrails Check,Amazon Bedrock Guardrails are properly configured with 1 guardrails,No action required. Continue monitoring and updating guardrails as needed.,https://docs.aws.amazon.com/bedrock/latest/userguide/guardrails.html,High,Passed,us-east-1
BR-06,Bedrock CloudTrail Logging Check,CloudTrail is properly configured to log Bedrock API activity in trails: IsengardTrail-DO-NOT-DELETE,No action required. Continue monitoring CloudTrail logs for Bedrock activity.,https://docs.aws.amazon.com/bedrock/latest/userguide/logging-using-cloudtrail.html,Medium,Passed,us-east-1
BR-07,Bedrock Prompt Management Check,Prompt Management feature is not being used. This may lead to inconsistent prompt handling and suboptimal model responses.,"Implement Prompt Management to:
1. Create and version your prompts
2. Test different prompt variants
3. Share prompts across your organization
4. Maintain consistent prompt templates",https://docs.aws.amazon.com/bedrock/latest/userguide/prompt-management.html,Informational,N/A,us-east-1
BR-08,Bedrock Agent IAM Roles Check,"IAM roles associated with Bedrock agents have least privilege issues:
- Agent 'governance-demo-pipeline-agent' role 'GovernanceBedrockStack-BedrockAgentRole7C982E0C-c17jwDTekePu' missing permission boundary, missing VPC conditions","1. Replace full access policies with scoped policies
2. Specify exact resource ARNs instead of using wildcards
3. Apply permission boundaries to limit maximum permissions
4. Add VPC conditions to restrict access to specific networks
5. Review and update role trust policies",https://docs.aws.amazon.com/wellarchitected/latest/generative-ai-lens/gensec05-bp01.html,High,Failed,us-east-1
BR-09,Bedrock Knowledge Base Encryption Check,No Knowledge Bases found in the account,No action required,https://docs.aws.amazon.com/bedrock/latest/userguide/encryption-kb.html,Informational,N/A,us-east-1
